Query,p,w,NumberOfRecordsMatching,ProofSize,SizeOfRecordsMatching,NumberOfRecordsAll,SizeOfRecordsAll,SizeOfProofAll,NumberCategoricalAttributes,NumberNumericalAttributes
"<Categorical Attributes:{}>",0.1,0,10000,437734,372676,10000,372676,437734.0,3,10
"<Categorical Attributes:{0}>",0.1,0,1031,231538,39178,10000,372676,437734.0,3,10
"<Categorical Attributes:{0, 1}>",0.1,0,88,41335,3344,10000,372676,437734.0,3,10
"<Categorical Attributes:{0, 1, 2}>",0.1,0,10,7162,380,10000,372676,437734.0,3,10
"<Categorical Attributes:{}>",0.1,2500,10000,437734,372676,10000,372676,437734.0,3,10
"<Categorical Attributes:{0}>",0.1,2500,1031,97587,39178,10000,372676,437734.0,3,10
"<Categorical Attributes:{0, 1}>",0.1,2500,88,15291,3344,10000,372676,437734.0,3,10
"<Categorical Attributes:{0, 1, 2}>",0.1,2500,10,4226,380,10000,372676,437734.0,3,10
"<Categorical Attributes:{}>",0.1,5000,10000,437734,372676,10000,372676,437734.0,3,10
"<Categorical Attributes:{0}>",0.1,5000,1031,140657,39178,10000,372676,437734.0,3,10
"<Categorical Attributes:{0, 1}>",0.1,5000,88,24001,3344,10000,372676,437734.0,3,10
"<Categorical Attributes:{0, 1, 2}>",0.1,5000,10,3537,380,10000,372676,437734.0,3,10
"<Categorical Attributes:{}>",0.1,10000,10000,437734,372676,10000,372676,437734.0,3,10
"<Categorical Attributes:{0}>",0.1,10000,1031,48201,39178,10000,372676,437734.0,3,10
"<Categorical Attributes:{0, 1}>",0.1,10000,88,5191,3344,10000,372676,437734.0,3,10
"<Categorical Attributes:{0, 1, 2}>",0.1,10000,10,951,380,10000,372676,437734.0,3,10
"<Categorical Attributes:{}>",0.2,0,10000,439965,374907,10000,374907,439965.0,3,10
"<Categorical Attributes:{0}>",0.2,0,2078,341912,78964,10000,374907,439965.0,3,10
"<Categorical Attributes:{0, 1}>",0.2,0,379,121039,14402,10000,374907,439965.0,3,10
"<Categorical Attributes:{0, 1, 2}>",0.2,0,79,37461,3002,10000,374907,439965.0,3,10
"<Categorical Attributes:{}>",0.2,2500,10000,439965,374907,10000,374907,439965.0,3,10
"<Categorical Attributes:{0}>",0.2,2500,2078,161376,78964,10000,374907,439965.0,3,10
"<Categorical Attributes:{0, 1}>",0.2,2500,379,46506,14402,10000,374907,439965.0,3,10
"<Categorical Attributes:{0, 1, 2}>",0.2,2500,79,14768,3002,10000,374907,439965.0,3,10
"<Categorical Attributes:{}>",0.2,5000,10000,439965,374907,10000,374907,439965.0,3,10
"<Categorical Attributes:{0}>",0.2,5000,2078,218064,78964,10000,374907,439965.0,3,10
"<Categorical Attributes:{0, 1}>",0.2,5000,379,71443,14402,10000,374907,439965.0,3,10
"<Categorical Attributes:{0, 1, 2}>",0.2,5000,79,21687,3002,10000,374907,439965.0,3,10
"<Categorical Attributes:{}>",0.2,10000,10000,439965,374907,10000,374907,439965.0,3,10
"<Categorical Attributes:{0}>",0.2,10000,2078,95080,78964,10000,374907,439965.0,3,10
"<Categorical Attributes:{0, 1}>",0.2,10000,379,18351,14402,10000,374907,439965.0,3,10
"<Categorical Attributes:{0, 1, 2}>",0.2,10000,79,3952,3002,10000,374907,439965.0,3,10
"<Categorical Attributes:{}>",0.6,0,10000,444471,379413,10000,379413,444471.0,3,10
"<Categorical Attributes:{0}>",0.6,0,6081,484770,231078,10000,379413,444471.0,3,10
"<Categorical Attributes:{0, 1}>",0.6,0,3624,433642,137712,10000,379413,444471.0,3,10
"<Categorical Attributes:{0, 1, 2}>",0.6,0,2192,352659,83296,10000,379413,444471.0,3,10
"<Categorical Attributes:{}>",0.6,2500,10000,444471,379413,10000,379413,444471.0,3,10
"<Categorical Attributes:{0}>",0.6,2500,6081,329342,231078,10000,379413,444471.0,3,10
"<Categorical Attributes:{0, 1}>",0.6,2500,3624,232371,137712,10000,379413,444471.0,3,10
"<Categorical Attributes:{0, 1, 2}>",0.6,2500,2192,163551,83296,10000,379413,444471.0,3,10
"<Categorical Attributes:{}>",0.6,5000,10000,444471,379413,10000,379413,444471.0,3,10
"<Categorical Attributes:{0}>",0.6,5000,6081,379350,231078,10000,379413,444471.0,3,10
"<Categorical Attributes:{0, 1}>",0.6,5000,3624,298452,137712,10000,379413,444471.0,3,10
"<Categorical Attributes:{0, 1, 2}>",0.6,5000,2192,226649,83296,10000,379413,444471.0,3,10
"<Categorical Attributes:{}>",0.6,10000,10000,444471,379413,10000,379413,444471.0,3,10
"<Categorical Attributes:{0}>",0.6,10000,6081,273514,231078,10000,379413,444471.0,3,10
"<Categorical Attributes:{0, 1}>",0.6,10000,3624,162914,137712,10000,379413,444471.0,3,10
"<Categorical Attributes:{0, 1, 2}>",0.6,10000,2192,98415,83296,10000,379413,444471.0,3,10
"<Categorical Attributes:{}>",0.8,0,10000,444988,379930,10000,379930,444988.0,3,10
"<Categorical Attributes:{0}>",0.8,0,8047,479814,305786,10000,379930,444988.0,3,10
"<Categorical Attributes:{0, 1}>",0.8,0,6408,486323,243504,10000,379930,444988.0,3,10
"<Categorical Attributes:{0, 1, 2}>",0.8,0,5107,475098,194066,10000,379930,444988.0,3,10
"<Categorical Attributes:{}>",0.8,2500,10000,444988,379930,10000,379930,444988.0,3,10
"<Categorical Attributes:{0}>",0.8,2500,8047,394042,305786,10000,379930,444988.0,3,10
"<Categorical Attributes:{0, 1}>",0.8,2500,6408,338314,243504,10000,379930,444988.0,3,10
"<Categorical Attributes:{0, 1, 2}>",0.8,2500,5107,289289,194066,10000,379930,444988.0,3,10
"<Categorical Attributes:{}>",0.8,5000,10000,444988,379930,10000,379930,444988.0,3,10
"<Categorical Attributes:{0}>",0.8,5000,8047,422247,305786,10000,379930,444988.0,3,10
"<Categorical Attributes:{0, 1}>",0.8,5000,6408,386322,243504,10000,379930,444988.0,3,10
"<Categorical Attributes:{0, 1, 2}>",0.8,5000,5107,350151,194066,10000,379930,444988.0,3,10
"<Categorical Attributes:{}>",0.8,10000,10000,444988,379930,10000,379930,444988.0,3,10
"<Categorical Attributes:{0}>",0.8,10000,8047,360657,305786,10000,379930,444988.0,3,10
"<Categorical Attributes:{0, 1}>",0.8,10000,6408,286320,243504,10000,379930,444988.0,3,10
"<Categorical Attributes:{0, 1, 2}>",0.8,10000,5107,227791,194066,10000,379930,444988.0,3,10
